"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"MS","OTU_1002",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1010",32,0,0.03125,1.20634331790455e-17,2,0,0,"Peripheral"
"MS","OTU_1011",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1025",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1059",24,0,0.0416666666666667,2.36099061832963e-17,5,0,0,"Peripheral"
"MS","OTU_1087",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1128",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_113",32,0,0.03125,2.32329078613442e-16,2,0,0,"Peripheral"
"MS","OTU_1140",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1149",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1152",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1160",9,0,0.111111111111111,0,6,0,0,"Peripheral"
"MS","OTU_1188",40,0,0.025,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1191",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1192",32,0,0.03125,1.81118970532409e-16,2,0,0,"Peripheral"
"MS","OTU_1203",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1204",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1210",40,0,0.025,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1225",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1226",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1236",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1246",32,0,0.03125,2.28486547775295e-17,2,0,0,"Peripheral"
"MS","OTU_1247",32,0,0.03125,1.48928151880868e-16,2,0,0,"Peripheral"
"MS","OTU_1251",32,0,0.03125,1.65942108001632e-16,2,0,0,"Peripheral"
"MS","OTU_1252",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1262",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1266",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1267",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1272",40,0,0.025,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1278",40,0,0.025,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1279",9,0,0.111111111111111,0,6,0,0,"Peripheral"
"MS","OTU_1281",32,0,0.03125,8.42822817333463e-17,2,0,0,"Peripheral"
"MS","OTU_129",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1301",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1305",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1308",32,0,0.03125,1.4883221702694e-16,2,0,0,"Peripheral"
"MS","OTU_1314",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1318",32,0,0.03125,1.77877765647349e-16,2,0,0,"Peripheral"
"MS","OTU_1333",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1334",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1336",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1341",40,0,0.025,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1352",24,0,0.0416666666666667,0,5,0,0,"Peripheral"
"MS","OTU_1364",9,0,0.111111111111111,0,6,0,0,"Peripheral"
"MS","OTU_1368",30,0,0.0333333333333333,0,3,0,0,"Peripheral"
"MS","OTU_1370",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1388",9,0,0.111111111111111,0,6,0,0,"Peripheral"
"MS","OTU_1391",24,0,0.0416666666666667,2.97418666937328e-17,5,0,0,"Peripheral"
"MS","OTU_1394",32,0,0.03125,2.37879444278195e-16,2,0,0,"Peripheral"
"MS","OTU_1403",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1405",25,0,0.04,0,4,0,0,"Peripheral"
"MS","OTU_1413",40,0,0.025,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1415",40,0,0.025,1,1,0,0,"Peripheral"
"MS","OTU_1418",32,0,0.03125,4.3854742624898e-17,2,0,0,"Peripheral"
